SchemeCode,AMC,SchemeType,CategoryRaw,Category,SubCategory
127807,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127808,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127841,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127843,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127844,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127849,Bank of India Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Hybrid,Dynamic Asset Allocation or Balanced Advantage
127850,Bank of India Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Hybrid,Dynamic Asset Allocation or Balanced Advantage
127851,Bank of India Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Hybrid,Dynamic Asset Allocation or Balanced Advantage
127852,Bank of India Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Hybrid,Dynamic Asset Allocation or Balanced Advantage
127910,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127911,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127912,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127913,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
128006,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
128009,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
128038,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
128039,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
128040,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
128042,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
128044,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
128050,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
128051,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
128052,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
128053,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
128058,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
128060,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
128075,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
128076,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
128077,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
128078,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
128079,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
128081,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
128082,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
128084,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
128110,ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,Hybrid,Conservative Hybrid Fund
128111,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
