Date,NAV
2018-07-20,10.00510
2018-07-23,10.00900
2018-07-24,10.01020
2018-07-25,10.01130
2018-07-26,10.01590
2018-07-27,10.01700
2018-07-30,10.02090
2018-07-31,10.02470
2018-08-01,10.03410
2018-08-02,10.03520
2018-08-03,10.03550
2018-08-06,10.03710
2018-08-07,10.03600
2018-08-08,10.03820
2018-08-09,10.04490
2018-08-10,10.04850
2018-08-13,10.04390
2018-08-14,10.04710
2018-08-16,10.04760
2018-08-20,10.05610
2018-08-21,10.06160
2018-08-23,10.06320
2018-08-24,10.06260
2018-08-27,10.06990
2018-08-28,10.07150
2018-08-29,10.07330
2018-08-30,10.07020
2018-08-31,10.07110
2018-09-03,10.07310
2018-09-04,10.06260
2018-09-05,10.04690
2018-09-06,10.04580
2018-09-07,10.04940
2018-09-10,10.02040
2018-09-11,10.01210
2018-09-12,10.00750
2018-09-14,10.01830
2018-09-17,10.02620
2018-09-18,10.03030
2018-09-19,10.03650
2018-09-21,10.03720
2018-09-24,10.03150
2018-09-25,10.02030
2018-09-26,10.02350
2018-09-27,10.04100
2018-09-28,10.06160
2018-10-01,10.08050
2018-10-03,10.06850
2018-10-04,10.05000
2018-10-05,10.06810
2018-10-08,10.08840
2018-10-09,10.07540
2018-10-10,10.08860
2018-10-11,10.09320
2018-10-12,10.10030
2018-10-15,10.11560
2018-10-16,10.12000
2018-10-17,10.11720
2018-10-19,10.12650
2018-10-22,10.13780
2018-10-23,10.14520
2018-10-24,10.15050
2018-10-25,10.14830
2018-10-26,10.15110
2018-10-29,10.16430
2018-10-30,10.16550
2018-10-31,10.16510
2018-11-01,10.17120
2018-11-02,10.18390
2018-11-05,10.18580
2018-11-06,10.18810
2018-11-09,10.19830
2018-11-12,10.20890
2018-11-13,10.22110
2018-11-14,10.23380
2018-11-15,10.24250
2018-11-16,10.23620
2018-11-19,10.24610
2018-11-20,10.25290
2018-11-22,10.26530
2018-11-26,10.27670
2018-11-27,10.27810
2018-11-28,10.29780
2018-11-29,10.31310
2018-11-30,10.32110
2018-12-03,10.32640
2018-12-04,10.33920
2018-12-05,10.36830
2018-12-06,10.38420
2018-12-07,10.38000
2018-12-10,10.35900
2018-12-11,10.35980
2018-12-12,10.38400
2018-12-13,10.38220
2018-12-14,10.38020
2018-12-17,10.38910
2018-12-18,10.40290
2018-12-19,10.43430
2018-12-20,10.44580
2018-12-21,10.44400
2018-12-24,10.44900
2018-12-26,10.46100
2018-12-27,10.46670
2018-12-28,10.45620
2018-12-31,10.45820
2019-01-01,10.44410
2019-01-02,10.45270
2019-01-03,10.44860
2019-01-04,10.45140
2019-01-07,10.43940
2019-01-08,10.46280
2019-01-09,10.46710
2019-01-10,10.47340
2019-01-11,10.48140
2019-01-14,10.49970
2019-01-15,10.50830
2019-01-16,10.49700
2019-01-17,10.50090
2019-01-18,10.49370
2019-01-21,10.48700
2019-01-22,10.50250
2019-01-23,10.50480
2019-01-24,10.50570
2019-01-25,10.50050
2019-01-28,10.50780
2019-01-29,10.51460
2019-01-30,10.51110
2019-01-31,10.51920
2019-02-01,10.49290
2019-02-04,10.48410
2019-02-05,10.47980
2019-02-06,10.48520
2019-02-07,10.52110
2019-02-08,10.55610
2019-02-11,10.56680
2019-02-12,10.56700
2019-02-13,10.59520
2019-02-14,10.59690
2019-02-15,10.59480
2019-02-18,10.59400
2019-02-20,10.60290
2019-02-21,10.60580
2019-02-22,10.60240
2019-02-25,10.60210
2019-02-26,10.59640
2019-02-27,10.58520
2019-02-28,10.59110
2019-03-01,10.60050
2019-03-05,10.61530
2019-03-06,10.62020
2019-03-07,10.63950
2019-03-08,10.64850
2019-03-11,10.66030
2019-03-12,10.67660
2019-03-13,10.67310
2019-03-14,10.70300
2019-03-15,10.71040
2019-03-18,10.73000
2019-03-19,10.72640
2019-03-20,10.72960
2019-03-22,10.74610
2019-03-25,10.75540
2019-03-26,10.75490
2019-03-27,10.75230
2019-03-28,10.75960
2019-03-29,10.77350
2019-04-02,10.81640
2019-04-03,10.81630
2019-04-04,10.80220
2019-04-05,10.79190
2019-04-08,10.77700
2019-04-09,10.77460
2019-04-10,10.77300
2019-04-11,10.77140
2019-04-12,10.76870
2019-04-15,10.76890
2019-04-16,10.76950
2019-04-18,10.77420
2019-04-22,10.76430
2019-04-23,10.75190
2019-04-24,10.76250
