Date,NAV
2010-10-22,10.05600
2010-10-25,10.06260
2010-10-26,10.06420
2010-10-27,10.06410
2010-10-28,10.06550
2010-10-29,10.06760
2010-11-01,10.07400
2010-11-02,10.07720
2010-11-03,10.08120
2010-11-04,10.08360
2010-11-08,10.09320
2010-11-09,10.09010
2010-11-10,10.09110
2010-11-11,10.09250
2010-11-12,10.09520
2010-11-15,10.10030
2010-11-16,10.10180
2010-11-18,10.10540
2010-11-19,10.10670
2010-11-22,10.11210
2010-11-23,10.11320
2010-11-24,10.11560
2010-11-25,10.11610
2010-11-26,10.11380
2010-11-29,10.11720
2010-11-30,10.11820
2010-12-01,10.11970
2010-12-02,10.12070
2010-12-03,10.12160
2010-12-06,10.12440
2010-12-07,10.12320
2010-12-08,10.12250
2010-12-09,10.12480
2010-12-10,10.12630
2010-12-13,10.13350
2010-12-14,10.13490
2010-12-15,10.13690
2010-12-16,10.14150
2010-12-20,10.15290
2010-12-21,10.15250
2010-12-22,10.15370
2010-12-23,10.15520
2010-12-24,10.15610
2010-12-27,10.16310
2010-12-28,10.16560
2010-12-29,10.16920
2010-12-30,10.17720
2010-12-31,10.18180
2011-01-03,10.04470
2011-01-04,10.05000
2011-01-05,10.05980
2011-01-06,10.06270
2011-01-07,10.06210
2011-01-10,10.06600
2011-01-11,10.06620
2011-01-12,10.06720
2011-01-13,10.06800
2011-01-14,10.06960
2011-01-17,10.07700
2011-01-18,10.07790
2011-01-19,10.08010
2011-01-20,10.08260
2011-01-21,10.09570
2011-01-24,10.10290
2011-01-25,10.10440
2011-01-27,10.10900
2011-01-28,10.11140
2011-01-31,10.11690
2011-02-01,10.11690
2011-02-02,10.11730
2011-02-03,10.11720
2011-02-04,10.12050
2011-02-07,10.12740
2011-02-08,10.13010
2011-02-09,10.13280
2011-02-10,10.13450
2011-02-11,10.13710
2011-02-14,10.14300
2011-02-15,10.14420
2011-02-17,10.14990
2011-02-18,10.15360
2011-02-21,10.16120
2011-02-22,10.16270
2011-02-23,10.16480
2011-02-24,10.16710
2011-02-25,10.16940
2011-02-28,10.18780
2011-03-01,10.19050
2011-03-03,10.19610
2011-03-04,10.19890
2011-03-07,10.20730
2011-03-08,10.21110
2011-03-09,10.21440
2011-03-10,10.21740
2011-03-11,10.22260
2011-03-14,10.23000
2011-03-15,10.23130
2011-03-16,10.23440
2011-03-17,10.23890
2011-03-18,10.24100
2011-03-21,10.24740
2011-03-22,10.24900
2011-03-23,10.25060
2011-03-24,10.25440
2011-03-25,10.25720
2011-03-28,10.27270
2011-03-29,10.27670
2011-03-30,10.28010
2011-03-31,10.28280
2011-04-05,10.05760
2011-04-06,10.06040
2011-04-07,10.06310
2011-04-08,10.06580
2011-04-11,10.07410
2011-04-13,10.07970
2011-04-15,10.08560
2011-04-18,10.09420
2011-04-19,10.09710
2011-04-20,10.10000
2011-04-21,10.10300
2011-04-25,10.11470
2011-04-26,10.11760
2011-04-27,10.12050
2011-04-28,10.12350
2011-04-29,10.13380
2011-05-02,10.14360
2011-05-03,10.14650
2011-05-04,10.14950
2011-05-05,10.15240
2011-05-06,10.15540
2011-05-09,10.16420
2011-05-10,10.16710
2011-05-11,10.17010
2011-05-12,10.17300
2011-05-13,10.17590
2011-05-16,10.18480
2011-05-18,10.19070
2011-05-19,10.19360
2011-05-20,10.19650
2011-05-23,10.20540
2011-05-24,10.20830
2011-05-25,10.21120
2011-05-26,10.21420
2011-05-27,10.21710
2011-05-30,10.22600
2011-05-31,10.22890
2011-06-01,10.23180
2011-06-02,10.23480
2011-06-03,10.23770
2011-06-06,10.24650
2011-06-07,10.24950
2011-06-08,10.25240
2011-06-09,10.25540
2011-06-10,10.26060
2011-06-13,10.26960
2011-06-14,10.27340
2011-06-15,10.27650
2011-06-16,10.27960
2011-06-17,10.28260
2011-06-20,10.29180
2011-06-21,10.29490
2011-06-22,10.29800
2011-06-23,10.30100
2011-06-24,10.30410
2011-06-27,10.31330
2011-06-28,10.31620
2011-06-29,10.31910
2011-06-30,10.32180
2011-07-04,10.00000
2011-07-05,0.00000
2011-07-11,0.00000
2011-07-12,0.00000
2011-07-13,0.00000
2011-07-14,0.00000
2011-07-15,0.00000
2011-07-18,0.00000
2011-07-19,0.00000
2011-07-20,0.00000
2011-07-21,0.00000
2011-07-22,0.00000
2011-07-25,0.00000
2011-07-26,0.00000
2011-07-27,0.00000
2011-07-28,0.00000
2011-07-29,0.00000
2011-08-01,0.00000
2011-08-02,0.00000
2011-08-03,0.00000
2011-08-04,0.00000
2011-08-05,0.00000
2011-08-08,0.00000
2011-08-09,0.00000
2011-08-10,0.00000
2011-08-11,0.00000
2011-08-12,0.00000
2011-08-16,0.00000
