Date,NAV
2013-08-14,10.00650
2013-08-16,9.99000
2013-08-19,9.98700
2013-08-20,9.98150
2013-08-21,10.01790
2013-08-22,10.01830
2013-08-23,10.02560
2013-08-26,10.02580
2013-08-27,10.01830
2013-08-28,9.99710
2013-08-29,9.99770
2013-08-30,10.00050
2013-09-02,10.01330
2013-09-03,10.02040
2013-09-04,10.03210
2013-09-05,10.08850
2013-09-06,10.07240
2013-09-10,10.08530
2013-09-11,10.08380
2013-09-12,10.08850
2013-09-13,10.08550
2013-09-16,10.09420
2013-09-17,10.09690
2013-09-18,10.11070
2013-09-19,10.15130
2013-09-20,10.16420
2013-09-23,10.16210
2013-09-24,10.16530
2013-09-25,10.17310
2013-09-26,10.17750
2013-09-27,10.18170
2013-09-30,10.19060
2013-10-01,10.19840
2013-10-03,10.20580
2013-10-04,10.21660
2013-10-07,10.22900
2013-10-08,10.25880
2013-10-09,10.25580
2013-10-10,10.25760
2013-10-11,10.25840
2013-10-14,10.26190
2013-10-15,10.25750
2013-10-17,10.26270
2013-10-18,10.26510
2013-10-21,10.27260
2013-10-22,10.27640
2013-10-23,10.27830
2013-10-24,10.28030
2013-10-25,10.28390
2013-10-28,10.29060
2013-10-29,10.30020
2013-10-30,10.30030
2013-10-31,10.30270
2013-11-01,10.30390
2013-11-05,10.31130
2013-11-06,10.31250
2013-11-07,10.30540
2013-11-08,10.30790
2013-11-11,10.31210
2013-11-12,10.30730
2013-11-13,10.30980
2013-11-14,10.30370
2013-11-18,10.30900
2013-11-19,10.31860
2013-11-20,10.32420
2013-11-21,10.32270
2013-11-22,10.32470
2013-11-25,10.33620
2013-11-26,10.34360
2013-11-27,10.34890
2013-11-28,10.35250
2013-11-29,10.31970
2013-12-02,10.32710
2013-12-03,10.32920
2013-12-04,10.33480
2013-12-05,10.34460
2013-12-06,10.34550
2013-12-09,10.34620
2013-12-10,10.34990
2013-12-11,10.35250
2013-12-12,10.36170
2013-12-13,10.35350
2013-12-16,10.36240
2013-12-17,10.36330
2013-12-18,10.36620
2013-12-19,10.37020
2013-12-20,10.37520
2013-12-23,10.38140
2013-12-24,10.38370
2013-12-26,10.38960
2013-12-27,10.38950
2013-12-30,10.39700
2013-12-31,10.40110
2014-01-01,10.40840
2014-01-02,10.41120
2014-01-03,10.41420
2014-01-06,10.42130
2014-01-07,10.42050
2014-01-08,10.42140
2014-01-09,10.42080
2014-01-10,10.42490
2014-01-13,10.43210
2014-01-15,10.43690
2014-01-16,10.43870
2014-01-17,10.44120
2014-01-20,10.44810
2014-01-21,10.45410
2014-01-22,10.45550
2014-01-23,10.45790
2014-01-24,10.45990
2014-01-27,10.46550
2014-01-28,10.45710
2014-01-29,10.45780
2014-01-30,10.45670
2014-01-31,10.45690
2014-02-03,10.46560
2014-02-04,10.46940
2014-02-05,10.47330
2014-02-06,10.47990
2014-02-07,10.48020
2014-02-10,10.48590
2014-02-11,10.48730
2014-02-12,10.48900
2014-02-13,10.48720
2014-02-14,10.48910
2014-02-17,10.49530
2014-02-18,10.49940
2014-02-20,10.50430
2014-02-21,10.50580
2014-02-24,10.51350
2014-02-25,10.51640
2014-02-26,10.51950
2014-02-28,10.52410
2014-03-03,10.52770
2014-03-04,10.52700
2014-03-05,10.53960
2014-03-06,10.54110
2014-03-07,10.54880
2014-03-10,10.55690
2014-03-11,10.56270
2014-03-12,10.56450
2014-03-13,10.56900
2014-03-14,10.57330
2014-03-18,10.58470
2014-03-19,10.58790
2014-03-20,10.59250
2014-03-21,10.60130
2014-03-24,10.61420
2014-03-25,10.61360
2014-03-26,10.61360
2014-03-27,10.61710
2014-03-28,10.62860
2014-04-02,10.63810
2014-04-03,10.64210
2014-04-04,10.64480
2014-04-07,10.65230
2014-04-09,10.65630
2014-04-10,10.65890
2014-04-11,10.66180
2014-04-15,10.67140
2014-04-16,10.67430
2014-04-17,10.67750
2014-04-21,10.68740
2014-04-22,10.68950
2014-04-23,10.69210
2014-04-25,10.69680
2014-04-28,10.70340
2014-04-29,10.70570
2014-04-30,10.70860
2014-05-02,10.71420
2014-05-05,10.72300
2014-05-06,10.72580
2014-05-07,10.72910
2014-05-08,10.73160
2014-05-09,10.73490
2014-05-12,10.74240
2014-05-13,10.74520
2014-05-15,10.75120
2014-05-16,10.75630
2014-05-19,10.76440
2014-05-20,10.76860
2014-05-21,10.77230
2014-05-22,10.77560
